648	396	17284	369	-68	-38	-17	-23	-25	33
604	356	17328	500	-55	-82	-18	-21	-24	48
620	416	17368	467	-53	-54	-16	-20	-25	63
680	-7084	16432	1485	-94	4898	-15	-20	-24	99
652	480	17432	-409	-81	-6	-18	-23	-25	147
644	468	17420	-230	4	-9	-14	-20	-23	192
720	456	17272	144	-63	-26	-17	-22	-24	235
688	400	17332	-307	-60	21	-16	-20	-25	279
684	432	17304	-3	-79	-19	-14	-22	-23	324
636	372	17260	1	-30	-16	-18	-21	-25	368
628	372	17376	143	-55	-13	-16	-21	-26	410
640	364	17472	374	-64	-36	-16	-21	-23	455
672	340	17368	230	-76	-26	-16	-21	-23	500
652	404	17356	290	-74	-53	-15	-22	-24	545
720	464	17256	706	-73	-89	-18	-22	-25	589
692	548	17264	1060	-109	-95	-16	-23	-28	634
656	588	17208	-231	-30	2	-18	-22	-23	681
648	500	17312	84	-48	-12	-16	-22	-24	724
640	500	17364	604	-102	-48	-15	-23	-24	768
640	488	17368	-225	-19	25	-16	-24	-24	814
620	524	17336	102	-85	-33	-15	-21	-25	859
680	464	17268	329	-73	-38	-16	-22	-25	903
640	452	17256	-251	-64	-1	-15	-23	-23	948
708	528	17372	472	-58	-77	-17	-23	-24	993
684	484	17240	87	-62	-21	-17	-22	-24	1037
684	560	17312	300	-90	-23	-17	-22	-25	1082
648	448	17292	164	-63	-41	-18	-22	-25	1128
684	464	17304	78	-47	5	-16	-21	-24	1174
712	552	17180	133	-83	-38	-17	-22	-23	1216
628	484	17236	296	-72	-41	-18	-22	-25	1262
596	568	17292	-1	-56	-42	-16	-21	-23	1308
624	604	17244	423	-94	-18	-17	-23	-25	1353
608	424	17340	330	-71	-45	-16	-21	-25	1398
644	400	17448	-176	-22	-16	-16	-23	-24	1444
628	384	17364	665	-64	-50	-17	-23	-25	1491
668	384	17240	259	-70	-10	-17	-22	-23	1537
736	452	17392	-355	-61	28	-17	-23	-26	1582
716	404	17304	270	-68	-38	-17	-24	-25	1628
572	608	17684	92	-91	-56	-17	-24	-23	1674
692	288	17156	-298	-490	77	-15	-22	-25	1719
760	448	17204	-394	-336	10	-16	-22	-24	1765
712	92	17016	85	-319	62	-16	-22	-24	1812
780	276	18248	-203	-266	-14	-16	-22	-25	1856
760	76	18112	-290	-359	3	-17	-21	-23	1904
808	164	17204	-501	-548	50	-16	-20	-23	1949
812	76	17172	-194	-270	-19	-17	-21	-24	1995
832	-928	17916	-103	-221	292	-17	-20	-24	2042
908	568	17236	-1169	-955	535	-18	-17	-22	2091
900	-508	16280	-736	-1034	179	-17	-21	-24	2140
1180	-908	18092	-2719	-2896	-595	-16	-19	-21	2190
1892	-392	17104	-1970	-8255	-2356	-21	-20	-19	2243
2616	-1168	18716	1383	-3264	-899	-22	-20	-18	2297
2344	640	15388	756	-632	449	-24	-20	-21	2350
4872	-1212	18536	-5644	-4328	301	-23	-18	-21	2398
3332	-540	16108	1336	-6877	-260	-26	-19	-16	2451
4260	-1064	17236	558	-7149	-83	-27	-20	-13	2503
4872	-688	16456	-599	-5833	-1174	-30	-19	-14	2554
5332	-912	16048	95	-4282	-261	-31	-19	-13	2607
5848	-972	16356	-1105	-4071	-1106	-32	-20	-11	2657
6248	-1224	15780	-1952	-4545	-629	-35	-20	-10	2711
6816	-1044	15436	-1285	-6157	-988	-35	-19	-8	2765
7496	-1232	15888	-300	-4614	-1122	-38	-18	-4	2818
7988	-1308	14964	-581	-5969	-802	-39	-19	-3	2871
8532	-1772	14784	553	-4841	-663	-38	-19	-3	2923
8880	-1096	14012	2023	-4901	197	-41	-18	-1	2974
9092	-540	13792	-863	-5936	-484	-44	-18	2	3025
10000	-1272	14016	-1420	-7170	442	-45	-18	4	3075
10528	-1380	14316	1632	-3403	945	-44	-18	4	3127
10616	-976	13092	2001	-2742	249	-45	-19	4	3178
10744	-560	11920	-92	-2426	-212	-44	-17	4	3228
11184	-956	12700	-84	-3644	-322	-46	-19	6	3278
11344	-1064	13132	318	-570	143	-44	-17	6	3328
11224	-1036	12140	1462	1405	262	-46	-19	7	3376
11252	-376	12984	-1330	380	-91	-45	-19	7	3426
11208	-1316	13044	-1477	1588	-355	-45	-18	5	3475
10980	-1124	13136	-53	3720	271	-47	-18	4	3527
10604	-1208	12748	-651	2843	-215	-44	-16	4	3576
10416	-1176	13028	-703	1845	-754	-45	-18	5	3627
11136	-876	13824	636	3316	-2234	-44	-20	3	3678
11432	-1236	13952	840	5356	34	-43	-17	1	3728
10440	-820	14144	881	5203	-4	-43	-20	-2	3776
9076	-1016	14328	408	5903	-318	-42	-19	-2	3824
8484	-1200	14412	473	5467	-56	-39	-19	-5	3874
8132	-900	15328	949	4861	-345	-40	-21	-7	3922
7676	-784	15456	648	3979	304	-38	-18	-8	3971
7160	-1028	14960	871	5421	306	-36	-18	-10	4019
6720	-808	15588	-327	4033	226	-35	-18	-12	4069
6164	-564	15864	939	7175	1765	-33	-20	-13	4119
5456	-1032	15852	654	7156	615	-32	-19	-13	4169
4828	-904	15684	1101	3159	455	-31	-17	-14	4219
4648	-740	16712	-204	1877	-497	-30	-19	-14	4269
4376	-816	16736	194	3356	-74	-29	-17	-14	4320
4012	-880	16748	-399	3055	190	-29	-20	-16	4369
3672	-624	16820	-996	2579	-552	-27	-20	-17	4419
3388	-872	16484	-237	2106	722	-26	-18	-19	4469
3312	-1208	16972	204	646	30	-25	-19	-16	4519
3080	-944	17612	161	3348	95	-26	-20	-18	4567
2712	-1060	16976	82	2791	517	-25	-18	-19	4615
2416	-1120	17368	635	2875	-91	-23	-19	-19	4664
2192	-812	16996	361	2773	110	-24	-20	-20	4714
1136	-1212	17104	530	1258	-31	-23	-17	-21	4763
1560	-756	17096	29	1675	71	-21	-19	-20	4813
1404	-1268	17380	897	1939	29	-21	-18	-20	4859
1324	-764	17004	128	1423	344	-19	-19	-21	4908
1104	-968	16964	1049	3666	998	-19	-19	-22	4957
836	-1152	16844	773	54	19	-20	-19	-21	5007
880	-664	17740	546	-115	-237	-20	-19	-22	5053
844	-1092	17072	876	40	-91	-19	-18	-22	5102
920	-776	17388	896	207	-193	-19	-19	-21	5149
848	-788	17012	1303	907	-108	-18	-21	-22	5196
764	-532	17376	1305	571	21	-17	-19	-22	5245
648	-432	17532	884	1105	-378	-19	-19	-24	5292
664	-656	17796	-55	1197	761	-18	-20	-22	5341
416	160	17892	948	2507	127	-18	-21	-23	5389
144	-456	17680	1059	2671	-45	-14	-21	-23	5436
-156	-604	17664	771	3267	96	-14	-21	-23	5485
-496	-340	17952	1025	3921	-144	-13	-22	-26	5532
-1024	-468	17768	1154	5082	93	-12	-20	-26	5583
-1536	-484	17256	1130	5374	197	-11	-21	-26	5633
-2200	432	17768	2794	6220	-23	-10	-23	-26	5684
-2568	168	18108	1622	7251	101	-7	-22	-28	5734
-3768	688	16436	192	6881	-396	-3	-25	-28	5783
-4484	1076	16708	-302	6012	-750	0	-24	-26	5832
-5032	508	15980	-295	5043	-1243	0	-24	-28	5882
-5624	-832	15676	-58	3837	-680	1	-24	-26	5932
-5920	228	16012	1131	2762	736	2	-25	-25	5981
-6192	432	15944	1433	2185	333	1	-24	-28	6028
-6328	416	16084	1130	1823	-72	4	-23	-27	6076
-6552	660	15948	779	1060	-149	4	-23	-31	6124
-6616	792	16292	402	782	60	6	-22	-28	6172
-6676	372	16216	1434	801	-308	3	-25	-28	6217
-6768	988	15912	698	543	-240	6	-23	-29	6265
-6808	764	16140	879	390	67	4	-24	-29	6311
-6908	916	15612	330	-288	-122	6	-26	-28	6356
-6740	1088	15720	160	-758	559	5	-25	-28	6404
-6632	884	15920	232	-1310	122	3	-25	-27	6452
-6524	924	15876	-118	-1777	-69	4	-24	-30	6500
-6356	580	15664	267	-2348	96	5	-24	-28	6548
-6060	876	16284	500	-3007	315	5	-26	-30	6595
-5744	876	16628	185	-3581	400	1	-24	-31	6643
-5460	1312	16028	95	-3254	-232	3	-25	-31	6691
-5128	936	16864	-127	-3528	39	1	-23	-31	6740
-4704	1172	16916	-1371	-3607	-596	-1	-25	-29	6788
-4284	472	17084	8	-3491	-624	-1	-24	-29	6841
-4012	416	17152	-479	-3081	-128	-3	-24	-28	6889
-3720	660	16924	-562	-2902	-5	-3	-23	-29	6939
-3400	452	17444	-56	-2783	128	-7	-24	-29	6988
-3292	576	16836	-21	-2511	356	-5	-23	-30	7037
-2860	496	17172	569	-2929	160	-7	-24	-26	7086
-2528	564	17096	-30	-3094	5	-11	-22	-28	7135
-2180	708	17828	7	-2851	270	-10	-23	-26	7183
